set,figure_id,filename,width_px,height_px,dpi_x,dpi_y,sha256
images_300_dpi,B1,B1_training_batch_trajectories.png,1074,547,299.999,299.999,d807e687eda0cd6d808af96f6a3c2a1d555066752fa63d5a2ad5c9d2547b0cb5
images_300_dpi,B2,B2_baseline_actual_vs_predicted.png,1390,590,299.999,299.999,4725a10249a2ecd3f386343897a9f07f20c9a5cc604e8c888cc3332447313c8f
images_300_dpi,B3,B3_random_forest_feature_importance.png,989,690,299.999,299.999,5572f522bd052df0046b0b79b1375269eb911a421eb60b29cde5ce91d7f304b5
images_300_dpi,E1,E1_repeated_batch_cv_distribution.png,4146,1597,299.999,299.999,d78b49f4fff55e0e7d17ef82848331ea6bcbdbad0dbc19e6af61393c53eb5ada
images_300_dpi,E2,E2_time_feed_ablation.png,3546,1747,299.999,299.999,f4a441b40cb32aa113fa96f1546f7c2a5a9c8e5ec775b3ba4fe9e02b42182517
images_300_dpi,E3,E3_fault_phase_mae.png,2937,1892,299.999,299.999,f6a04058c342831f9082fd3dd71088baaebd25e8336cc98d625f1b515b80e627
images_300_dpi,E4,E4_model_comparison.png,4404,1747,299.999,299.999,2385d7fb28a3964873fac3a5dbccfda08a0e9cc36e72b935ccd91151761366b7
images_300_dpi,E5a,E5a_early_ood_heatmap.png,2597,1892,299.999,299.999,00e487ceec5c426cc2e9732f9a86f318c8cfb33077f9cad8b26414ff0b1771cc
images_300_dpi,E5b,E5b_ood_vs_batch_rmse.png,2935,1892,299.999,299.999,05bfda62fbe49581b07b447b571741da0b3a864328eca317c71c1c3ccb19b1d7
images_300_dpi,F1,F1_overall_rmse_comparison.png,2400,1500,299.999,299.999,89295f5823aa9eecd7f3c1e8e498a17786a3fc6d667b9d4b5369f8a37a4c2386
images_300_dpi,F2,F2_fault_batch_rmse.png,3300,1500,299.999,299.999,09228def9cf5596bcf2d4a31bf592039d104c321b4d8c21e69b16fd97c8b9910
images_300_dpi,F3,F3_fault_actual_vs_predicted.png,3600,1500,299.999,299.999,bbf9fd57453de285a8069b697eddc852a7b2f7e08fbe39cd1a5b0f8c5e76304b
images_300_dpi,F4,F4_fault_risk_by_phase.png,2700,1500,299.999,299.999,9300d46d7b731a99e988b2f3ffd2cdda66e1ebcca361eccc490b78e0084b5d90
images_300_dpi,F5,F5_batch_100_held_out_trajectory.png,2382,1060,299.999,299.999,bb618e51bcbf897f18264f1597ab31a043bba8bb863fd703e18e70c5cea4e3e1
images_600_dpi_original_code_output,B1,B1_training_batch_trajectories.png,4200,2139,599.999,599.999,fd242651546eedfde7ffb2744e3b36fd52d42d7096d63dcbdaf84f4f129fa31e
images_600_dpi_original_code_output,B2,B2_baseline_actual_vs_predicted.png,4200,1783,599.999,599.999,0cc329b4dc0ea6e06096e210ca1c6d22bb54fe6909c017b7164a9e64acab7ae8
images_600_dpi_original_code_output,B3,B3_random_forest_feature_importance.png,4200,2930,599.999,599.999,b904256080a27a28852b43ab50cade47bf4eeb5c6059cbd5ba9e2560e062fca3
images_600_dpi_original_code_output,E1,E1_repeated_batch_cv_distribution.png,4200,1618,599.999,599.999,1abda2fb4f027c746163884b9ba5c36d25b617850874decd2138e79020266e40
images_600_dpi_original_code_output,E2,E2_time_feed_ablation.png,4200,2069,599.999,599.999,272e45879d4251d928b89061079b96650c768504b6a897c473e39584877ad04a
images_600_dpi_original_code_output,E3,E3_fault_phase_mae.png,4200,2706,599.999,599.999,e27465f898cf6bb6464ce3e4aed18a831ebe7b65b81e6a4b05fdddcd9e2673b0
images_600_dpi_original_code_output,E4,E4_model_comparison.png,4404,1747,599.999,599.999,0fb84894329f2217fd9b6d2cacb8e221bfae595f0e743b25e0017259ae1bf957
images_600_dpi_original_code_output,E5a,E5a_early_ood_heatmap.png,4200,3060,599.999,599.999,ae94a0e28d2db700d922c07615399a21dcb83d54db9d65afb8317bdf5ca37b79
images_600_dpi_original_code_output,E5b,E5b_ood_vs_batch_rmse.png,4200,2707,599.999,599.999,2633093f8a9572fc14e819e68f81c76c9cfd3aaf582e9e0edcc80f96b7b5ab1a
images_600_dpi_original_code_output,F1,F1_overall_rmse_comparison.png,4200,2625,599.999,599.999,a185c8b3c9b97e47299fac9bf55199869ef5c507b2894094855445dc045501e4
images_600_dpi_original_code_output,F2,F2_fault_batch_rmse.png,4200,1909,599.999,599.999,4bf2d9a4d51816a6b88116cf227bd1529c49489db6938568cba21657c7420c9b
images_600_dpi_original_code_output,F3,F3_fault_actual_vs_predicted.png,4200,1750,599.999,599.999,70b192694d97ce5f929dc1a8f9bd0d06873d9bdf527012a3be312af372c4919f
images_600_dpi_original_code_output,F4,F4_fault_risk_by_phase.png,4200,2333,599.999,599.999,816dd108b2b1e7e5d3df31cff2857e21b0cb8344c49102f344e1c98d48a2051d
images_600_dpi_original_code_output,F5,F5_batch_100_held_out_trajectory.png,4200,1869,599.999,599.999,30b22312ba4140faa3afa5557d75da8dd891ec2c0a4efc5ad2ef2cebfba04154
publishable_images,B1,B1_training_batch_trajectories.png,3460,2447,599.999,599.999,5428dcaf51b362a773c555dde193c2d8bdc70b89adc5b7bf87af3ec1b75a3751
publishable_images,B2,B2_baseline_actual_vs_predicted.png,5349,2560,599.999,599.999,bdd525e520459f849158fcf075b303f06102f3355698079b7173ee728e5b2d55
publishable_images,B3,B3_random_forest_feature_importance.png,5410,2701,599.999,599.999,2315ac13ba2b605b7cec43d9c96091217e1996f595285e1d598be9447e3b8699
publishable_images,E1,E1_repeated_batch_cv_distribution.png,5226,2628,599.999,599.999,3b52909c2d7012f73513d02c25cb13b08eacd7647b2c6c254eeb99adcd68295d
publishable_images,E2,E2_time_feed_ablation.png,3923,2736,599.999,599.999,756ef64ad26d194fb0195a74bb3f511789cba907e3edfb784ba4d245d5703f30
publishable_images,E3,E3_fault_phase_mae.png,3367,2353,599.999,599.999,1a85731eb66945d4c6842f50179989a275350f2676a1db34fd3f9d3867ed9dd4
publishable_images,E4,E4_model_comparison.png,5726,2494,599.999,599.999,c3764d2033e45eec7a7d63579923fca45010864dbe8e6839362f6396f2680cc2
publishable_images,E5a,E5a_early_ood_heatmap.png,3362,2516,599.999,599.999,0287da8db1f85bff717dcea2297d1f3fce581cc60748b85c3803fb545dd64b0c
publishable_images,E5b,E5b_ood_vs_batch_rmse.png,3587,2477,599.999,599.999,756c48c23102be8f5b6ca0f88f18cb74fd34dbe4513db7c2cbe88351a1f3955e
publishable_images,F1,F1_overall_rmse_comparison.png,3205,2099,599.999,599.999,0e0cf6176a1f86ec640e642a27db9befc39cb01d96cbf3860612823656cc19f2
publishable_images,F2,F2_fault_batch_rmse.png,3714,2399,599.999,599.999,370f4f4b26bce80d5b3d4f9c3b1471a195bf201756b2b028a5815a8ed5edd2f4
publishable_images,F3,F3_fault_actual_vs_predicted.png,5349,2560,599.999,599.999,7f946478102019c84358914ab03c2ded339d55e015b739515fa8b789331303b8
publishable_images,F4,F4_fault_risk_by_phase.png,3205,2253,599.999,599.999,2a9883053586528f4bf11ab361593b087490e38b7d17c00473b0594d13b7ec57
publishable_images,F5,F5_batch_100_held_out_trajectory.png,3692,2285,599.999,599.999,bc8c54d4054ac341f152c6362f65e02db3bd9a02469a4d89b6740145957ff936
