Batch_ID,Rows,Target_Rows,Has_Fault,Fault_Reference_Min,Fault_Reference_Max,Fault_Reference_Nonzero_Rows,Fault_Flag_Min,Fault_Flag_Max,Fault_Flag_Nonzero_Rows,Regime,Data_Split
1,1130,1130,0,0,0,0,0.0,162260.0,1120,Recipe_Normal,Train
2,1150,1150,0,0,0,0,0.0,167100.0,1140,Recipe_Normal,Normal_Test
3,1390,1390,0,0,0,0,0.0,156740.0,1380,Recipe_Normal,Validation
4,1150,1150,0,0,0,0,0.0,134980.0,1140,Recipe_Normal,Train
5,895,895,0,0,0,0,0.0,156110.0,885,Recipe_Normal,Normal_Test
6,1150,1150,0,0,0,0,0.0,124830.0,1140,Recipe_Normal,Train
7,1160,1160,0,0,0,0,0.0,162520.0,1150,Recipe_Normal,Train
8,1150,1150,0,0,0,0,0.0,187280.0,1140,Recipe_Normal,Train
9,1260,1260,0,0,0,0,0.0,93836.0,1250,Recipe_Normal,Normal_Test
10,1150,1150,0,0,0,0,0.0,137540.0,1140,Recipe_Normal,Train
11,1010,1010,0,0,0,0,0.0,182610.0,1000,Recipe_Normal,Train
12,1150,1150,0,0,0,0,0.0,165490.0,1140,Recipe_Normal,Validation
13,1080,1080,0,0,0,0,0.0,170310.0,1070,Recipe_Normal,Validation
14,1150,1150,0,0,0,0,0.0,157820.0,1140,Recipe_Normal,Normal_Test
15,905,905,0,0,0,0,0.0,154240.0,895,Recipe_Normal,Validation
16,1150,1150,0,0,0,0,0.0,175590.0,1140,Recipe_Normal,Train
17,940,940,0,0,0,0,0.0,150030.0,930,Recipe_Normal,Train
18,1150,1150,0,0,0,0,0.0,108590.0,1140,Recipe_Normal,Train
19,1035,1035,0,0,0,0,0.0,134890.0,1025,Recipe_Normal,Train
20,1150,1150,0,0,0,0,0.0,162570.0,1140,Recipe_Normal,Train
21,1140,1140,0,0,0,0,0.0,155150.0,1130,Recipe_Normal,Train
22,1150,1150,0,0,0,0,0.0,176770.0,1140,Recipe_Normal,Train
23,1320,1320,0,0,0,0,0.0,191030.0,1310,Recipe_Normal,Train
24,1150,1150,0,0,0,0,0.0,137070.0,1140,Recipe_Normal,Train
25,1305,1305,0,0,0,0,0.0,132860.0,1295,Recipe_Normal,Train
26,1150,1150,0,0,0,0,0.0,165990.0,1140,Recipe_Normal,Train
27,1055,1055,0,0,0,0,0.0,151860.0,1045,Recipe_Normal,Train
28,1150,1150,0,0,0,0,0.0,145470.0,1140,Recipe_Normal,Normal_Test
