Model,Repeat,Fold,Train_Batches,Test_Batches,Test_Rows,Row_MAE,Row_RMSE,Row_R2,Mean_Batch_MAE,Mean_Batch_RMSE,Median_Batch_R2,Negative_Batch_R2_Count,Fit_Seconds,Test_Batch_IDs
Random Forest,1,1,72,18,20680,1.2807553882884382,2.12324384451985,0.9577891050641237,1.2550692408336739,1.8363602361732647,0.9733010404859903,0,210.89465951919556,"[8, 17, 23, 25, 26, 30, 32, 36, 39, 41, 42, 50, 63, 65, 72, 74, 75, 87]"
Random Forest,1,2,72,18,20245,1.3053263435387488,2.1268858325001996,0.9572484995732952,1.2934111834689692,1.862604021458852,0.9724221189347433,0,193.54719805717468,"[6, 11, 20, 21, 22, 27, 31, 33, 37, 48, 53, 55, 64, 76, 84, 85, 86, 89]"
Random Forest,1,3,72,18,19995,1.0246427555220707,1.6696857974113013,0.9713576790773232,1.0197016043442735,1.4994163477172033,0.9814868970185551,0,200.9901840686798,"[1, 4, 7, 10, 16, 19, 35, 38, 49, 51, 57, 59, 61, 67, 79, 80, 81, 90]"
Random Forest,1,4,72,18,20685,1.2936726360557955,2.310329712877758,0.9474274876290036,1.2647150745305156,1.8860321885742373,0.9745088803403328,0,194.11099481582642,"[12, 13, 15, 18, 24, 29, 40, 44, 52, 54, 56, 58, 62, 68, 70, 78, 82, 88]"
Random Forest,1,5,72,18,20805,1.5154348079112554,2.4878295339128647,0.9283237647681781,1.4565837369843584,2.0597997583611454,0.9696901147747301,1,191.97956466674805,"[2, 3, 5, 9, 14, 28, 34, 43, 45, 46, 47, 60, 66, 69, 71, 73, 77, 83]"
Random Forest,2,1,72,18,20395,1.0128767677049275,1.8278050942525392,0.966992779465617,1.0136696741222047,1.5065829291207435,0.9884035239415621,0,191.2783510684967,"[2, 6, 11, 14, 26, 28, 32, 34, 35, 38, 43, 56, 62, 63, 64, 66, 72, 90]"
Random Forest,2,2,72,18,20225,1.228739019533809,1.9657099251684242,0.9590894664020089,1.2107704647671411,1.7768737134655448,0.969617024107245,0,192.81420803070068,"[7, 8, 13, 17, 19, 30, 36, 45, 46, 58, 59, 60, 61, 69, 71, 77, 83, 88]"
Random Forest,2,3,72,18,21635,1.4358056186693493,2.336505426627437,0.9461903778981259,1.3974879304203922,2.0255331819111375,0.9603565858985632,0,187.58740258216858,"[3, 9, 12, 24, 25, 29, 31, 33, 41, 44, 52, 53, 68, 78, 80, 82, 84, 86]"
Random Forest,2,4,72,18,20225,1.393709013264011,2.253462507612537,0.9480586214863398,1.3867093397486199,1.965944860530033,0.9683934985434091,0,190.74931526184082,"[10, 15, 18, 20, 22, 27, 37, 42, 48, 49, 51, 55, 65, 70, 73, 74, 79, 81]"
Random Forest,2,5,72,18,19930,0.9764524675216949,1.5987267766364632,0.9753409204611901,0.9643819993703276,1.4642896741760685,0.9773235704063918,0,195.2414357662201,"[1, 4, 5, 16, 21, 23, 39, 40, 47, 50, 54, 57, 67, 75, 76, 85, 87, 89]"
Random Forest,3,1,72,18,20880,1.2164703260610206,2.1432554500385494,0.9477147807568714,1.1956996880149209,1.7690935465787807,0.9814422045127501,0,191.5826370716095,"[1, 9, 10, 14, 16, 25, 33, 35, 39, 40, 42, 43, 61, 65, 73, 75, 79, 86]"
Random Forest,3,2,72,18,20200,0.9756846154544516,1.542953510419144,0.9756806861550283,0.9768738818157661,1.4123545201331889,0.9758699531941399,0,192.16224336624146,"[13, 17, 26, 27, 28, 30, 32, 37, 54, 55, 56, 58, 64, 78, 82, 88, 89, 90]"
Random Forest,3,3,72,18,20260,1.2280260614663205,1.9985054224011798,0.9622677011726074,1.2165438637668389,1.8437392921070435,0.970324438281571,0,194.22757053375244,"[4, 5, 11, 12, 21, 23, 31, 34, 36, 50, 52, 59, 70, 71, 74, 76, 83, 85]"
Random Forest,3,4,72,18,21055,1.3612793023584466,2.26939250599561,0.9510283535462565,1.3084688456892712,1.8689156379304086,0.9773450975900988,0,189.29022121429443,"[3, 18, 19, 20, 22, 29, 38, 45, 48, 49, 51, 60, 63, 72, 77, 80, 81, 87]"
Random Forest,3,5,72,18,20015,1.2875741571085126,2.242248163282748,0.9506135645120735,1.2568845393450412,1.8275826538951816,0.9799933697279759,0,193.55076122283936,"[2, 6, 7, 8, 15, 24, 41, 44, 46, 47, 53, 57, 62, 66, 67, 68, 69, 84]"
Random Forest,4,1,72,18,20795,1.2801929473608722,2.086973675208725,0.9558021008042666,1.257880606068453,1.868226160441351,0.9616132143897864,0,191.06887888908386,"[3, 7, 14, 17, 28, 30, 32, 34, 41, 50, 52, 58, 61, 62, 70, 71, 83, 87]"
Random Forest,4,2,72,18,19610,0.9395366289237894,1.596853775067772,0.9761763920553341,0.9237746766958279,1.359420205093089,0.9872640778288526,0,194.101087808609,"[2, 5, 11, 12, 15, 23, 37, 43, 46, 53, 55, 60, 65, 72, 75, 77, 88, 90]"
Random Forest,4,3,72,18,20745,1.1557767248402389,2.0603330649192815,0.9550429142101572,1.1172183740148585,1.5889990676178105,0.9872453296290604,2,188.08733081817627,"[9, 13, 16, 22, 24, 26, 36, 40, 45, 54, 56, 59, 64, 68, 69, 76, 80, 84]"
Random Forest,4,4,72,18,20320,1.291662834335334,1.9985528797409033,0.9579696882611238,1.2831895220748455,1.8648540510474625,0.9718289629939982,0,193.39457511901855,"[1, 4, 8, 10, 19, 27, 33, 39, 48, 49, 51, 57, 66, 67, 73, 78, 81, 89]"
Random Forest,4,5,72,18,20940,1.670828412360293,2.786996920499717,0.9251822331853236,1.6543989973229885,2.357032870800227,0.9652146309816785,0,188.81598210334778,"[6, 18, 20, 21, 25, 29, 31, 35, 38, 42, 44, 47, 63, 74, 79, 82, 85, 86]"
Random Forest,5,1,72,18,21000,1.1713185790795044,1.8911141429270064,0.9630321355325829,1.16572132188298,1.6306203156486108,0.9724018296738199,0,189.7971911430359,"[8, 11, 14, 18, 26, 30, 31, 33, 36, 40, 45, 52, 61, 68, 69, 72, 80, 84]"
Random Forest,5,2,72,18,20090,1.1359809733562554,1.9654719369842968,0.9602981155429455,1.102365087360889,1.6095446399207003,0.9799762185549807,0,192.22950649261475,"[1, 2, 15, 20, 23, 25, 34, 35, 44, 53, 58, 59, 70, 75, 76, 86, 88, 89]"
Random Forest,5,3,72,18,20330,1.1764469502075907,1.976803016487987,0.9575020852998711,1.1521461479044226,1.6784402568294547,0.9810287559925848,0,193.54907846450806,"[3, 5, 10, 13, 19, 28, 39, 42, 47, 49, 50, 51, 73, 74, 78, 81, 82, 85]"
Random Forest,5,4,72,18,20625,1.1907170264336315,1.92281758363231,0.9663996198581772,1.1541204498545974,1.647852801454818,0.9820958983533967,0,190.20010137557983,"[7, 9, 17, 21, 22, 29, 38, 46, 54, 55, 56, 60, 62, 63, 66, 71, 77, 87]"
Random Forest,5,5,72,18,20365,1.248122632923897,2.0775119864666336,0.9578712280713475,1.2449997085749018,1.786814525756999,0.9801533992416218,0,191.82102823257446,"[4, 6, 12, 16, 24, 27, 32, 37, 41, 43, 48, 57, 64, 65, 67, 79, 83, 90]"
