Fault_Phase,Batch_ID,Rows,MAE,RMSE,R2
Before fault,91,99,6.207004224441734e-07,8.102905197713922e-07,0.9978441971527139
Before fault,92,399,0.260904061260155,0.3663895616578686,0.9865346821193739
Before fault,93,349,0.14402031069455312,0.20206223634588172,0.9949362969766562
Before fault,94,99,2.8327185064494967e-06,1.6905557361875252e-05,0.09696175861957501
Before fault,95,99,3.4731960396522596e-06,2.0651548929664154e-05,-0.17660639762538244
Before fault,96,349,0.05551402043509421,0.09280874817692186,0.9988982200364233
Before fault,97,99,1.688037944926147e-06,7.409096885042337e-06,0.8268114268897645
Before fault,98,399,0.15050515255964633,0.24091102706625808,0.9954745688323373
Before fault,99,99,4.32207732820295e-06,8.815736305645362e-06,0.7407307034486847
Before fault,100,99,4.1267985829584146e-06,2.4541065191241007e-05,-0.6381185376127068
During fault window,91,971,5.420052796638873,6.593706222015895,-7.216915697772318
During fault window,92,401,0.4894216616415909,0.5644161936883948,0.9829114245685738
During fault window,93,101,0.6874074994253777,0.7263124870510193,0.6958346169045375
During fault window,94,451,0.46642304358128167,0.6484920662377264,0.9777103166240626
During fault window,95,956,3.514904668321815,4.6804428837115575,-1.3355191766636993
During fault window,96,101,0.515510634522945,0.5933785611492843,0.7468891811658026
During fault window,97,971,1.21540049433618,1.5210935664935399,0.9629043772470713
During fault window,98,401,1.4973970420946865,1.6383435581439152,0.8601790792600932
During fault window,99,451,0.4761994473699014,0.7235626441628339,0.9747997302475256
During fault window,100,451,0.5695775822575339,0.9424189811107829,0.943852928946331
After fault,91,220,9.831405901330895,9.938396327228144,-879.7705458759707
After fault,92,350,1.6070000204021373,2.082616435107213,0.3479964447072028
After fault,93,600,1.7401882868179408,1.9826730299090731,0.8610377050590394
After fault,94,600,6.497817039586832,6.645872948879885,-12.757114097992373
After fault,96,700,1.9986167034804638,2.9634153025114736,0.5024330067240399
After fault,97,55,3.351840364182222,3.7537504976894205,-91.41190994050217
After fault,98,350,2.2936528179122857,3.3026634368257017,-1.34696041648581
After fault,99,705,4.980706972544394,5.279475909412461,-4.6009177827192085
After fault,100,600,10.188489613854562,10.419066789353188,-42.044544298317795
