Model,Dataset,Batch_ID,Rows,MAE,RMSE,R2
Dummy Median,Normal Test,2,1150,9.659378326434782,10.722531951976135,-0.005579028053890767
Dummy Median,Normal Test,5,895,8.75783716810056,9.989835161911111,-0.10333316173675366
Dummy Median,Normal Test,9,1260,7.401523879150794,8.735009804922518,-2.5459132660093355
Dummy Median,Normal Test,14,1150,8.829848252008697,9.943535185298726,-0.0017758912855092568
Dummy Median,Normal Test,28,1150,7.829771887852173,8.986011507747728,-0.02046873240593694
Dummy Median,Normal Test,34,1150,6.312581909165217,8.08830575354935,-0.17413215398673643
Dummy Median,Normal Test,45,1310,7.946191976389315,8.942295834264547,-3.753381590628333
Dummy Median,Normal Test,46,1150,9.785248714956522,10.984799284099934,-0.004170965122201276
Dummy Median,Normal Test,47,1140,7.959089787315789,9.150618543298258,-0.039518918600502495
Dummy Median,Normal Test,60,1150,7.809743985173911,9.02441369805008,-0.047616540401798524
Dummy Median,Normal Test,66,1150,8.446817427408694,9.594165397892654,-0.025328067920480368
Dummy Median,Normal Test,69,1125,8.754914278204444,9.862145804661065,-0.011020418079584537
Dummy Median,Normal Test,71,1070,10.147348391140186,11.358711062083943,-0.00074739397940915
Dummy Median,Normal Test,77,1025,8.522754526312195,9.747739367329782,-0.033155512267920795
Dummy Median,Normal Test,83,1205,8.26936494419917,9.40630888161333,-0.004405951137012476
Dummy Median,Fault Test,91,1290,11.142700538147288,11.411960745336296,-20.444308833357574
Dummy Median,Fault Test,92,1150,7.208328058817393,8.6607929832715,-0.06849945101062072
Dummy Median,Fault Test,93,1050,9.628036149580952,10.778513201576887,-9.860021307961375e-05
Dummy Median,Fault Test,94,1150,8.290482304939133,9.173754074327636,-4.455696923334083
Dummy Median,Fault Test,95,1055,9.16231761721327,9.84196723376667,-6.499412150943474
Dummy Median,Fault Test,96,1150,8.610380152382609,9.651611347896873,-0.0027686179751187368
Dummy Median,Fault Test,97,1125,7.641733382053333,9.025670764152114,-0.17924368123817258
Dummy Median,Fault Test,98,1150,10.355852365991304,11.5959309480178,-0.01623983827911535
Dummy Median,Fault Test,99,1255,8.062295864143428,9.006104637886608,-4.034972953242627
Dummy Median,Fault Test,100,1150,8.76264067872174,9.45544024116882,-6.083587729098225
Linear Regression,Normal Test,2,1150,1.6369421957396852,2.050581362139753,0.9632230659786534
Linear Regression,Normal Test,5,895,1.1049604367335977,1.2839460547988977,0.9817743266862652
Linear Regression,Normal Test,9,1260,4.935901549680639,6.852178436135274,-1.1820195754816325
